                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.259,                 1.9655,                 1.2467,                0.31567,                0.34599,                0.36463,                  0.243,                 1.2327,                  1.793,                 1.1656,             0.00054905,             0.00054905,             0.00054905
                      2,                 1.2178,                 1.4184,                 1.1736,                0.81442,                0.34539,                0.38802,                0.24827,                 1.2632,                 1.3144,                 1.1981,              0.0010865,              0.0010865,              0.0010865
                      3,                 1.2153,                 1.2467,                 1.1773,                0.84018,                0.38904,                0.42696,                0.27651,                 1.2525,                 1.3606,                 1.2259,              0.0016056,              0.0016056,              0.0016056
                      4,                 1.2039,                 1.1456,                 1.1696,                 0.8548,                0.38917,                0.45408,                0.30336,                 1.2174,                 1.1378,                 1.1847,              0.0015845,              0.0015845,              0.0015845
                      5,                  1.195,                 1.0696,                 1.1664,                0.39037,                0.52322,                0.46537,                0.30603,                 1.2294,                 1.0123,                 1.1661,               0.001557,               0.001557,               0.001557
                      6,                 1.1998,                 1.0421,                 1.1754,                0.84208,                0.39335,                0.46756,                0.31672,                 1.1994,                 1.0427,                 1.1564,              0.0015295,              0.0015295,              0.0015295
                      7,                  1.189,                 1.0076,                 1.1646,                0.85815,                0.38901,                0.44929,                0.29338,                  1.193,                 1.0211,                 1.1541,               0.001502,               0.001502,               0.001502
                      8,                 1.1757,                0.98112,                 1.1579,                0.37179,                  0.549,                0.47747,                0.31523,                 1.1995,                 1.0261,                 1.1651,              0.0014745,              0.0014745,              0.0014745
                      9,                 1.1795,                0.97477,                 1.1614,                 0.4019,                0.56854,                0.48598,                0.32611,                  1.185,                0.90701,                 1.1675,               0.001447,               0.001447,               0.001447
                     10,                  1.167,                 0.9409,                 1.1564,                 0.3898,                0.50143,                0.46094,                0.30619,                 1.1998,                0.92384,                 1.1842,              0.0014195,              0.0014195,              0.0014195
                     11,                 1.1649,                0.94033,                 1.1579,                0.45503,                0.51865,                0.49024,                0.32974,                 1.1964,                0.88819,                 1.1711,              0.0013919,              0.0013919,              0.0013919
                     12,                 1.1559,                 0.9214,                 1.1551,                0.51956,                0.52424,                0.51851,                 0.3514,                 1.1831,                0.86501,                 1.1755,              0.0013644,              0.0013644,              0.0013644
                     13,                 1.1489,                0.92481,                 1.1526,                0.43329,                0.55948,                0.50982,                0.34547,                 1.1798,                0.85225,                 1.1635,              0.0013369,              0.0013369,              0.0013369
                     14,                 1.1553,                0.90792,                 1.1657,                0.43934,                0.54513,                0.51748,                0.34723,                 1.2099,                0.87801,                 1.1775,              0.0013094,              0.0013094,              0.0013094
                     15,                 1.1514,                0.89542,                 1.1495,                 0.3451,                0.57418,                0.49129,                0.33315,                 1.2137,                  1.014,                 1.1852,              0.0012819,              0.0012819,              0.0012819
                     16,                 1.1451,                0.89009,                 1.1459,                0.56469,                0.51983,                0.54649,                0.37477,                 1.2137,                0.89915,                 1.1658,              0.0012544,              0.0012544,              0.0012544
                     17,                 1.1418,                0.86617,                 1.1514,                0.59958,                0.52248,                0.53861,                0.37568,                 1.1798,                0.84312,                 1.1601,              0.0012269,              0.0012269,              0.0012269
                     18,                 1.1296,                0.85277,                 1.1391,                0.52183,                0.54041,                0.54899,                0.37387,                 1.1756,                 0.8944,                 1.1712,              0.0011994,              0.0011994,              0.0011994
                     19,                 1.1372,                0.87348,                 1.1441,                0.61665,                0.48837,                0.56569,                0.38227,                   1.19,                0.88277,                 1.1574,              0.0011719,              0.0011719,              0.0011719
                     20,                 1.1431,                0.85334,                 1.1419,                 0.6002,                 0.5612,                0.59255,                0.41497,                 1.1758,                0.80597,                 1.1435,              0.0011444,              0.0011444,              0.0011444
                     21,                  1.125,                0.85518,                 1.1405,                0.55826,                0.59723,                0.58046,                0.40956,                 1.1738,                0.80451,                 1.1497,              0.0011169,              0.0011169,              0.0011169
                     22,                 1.1268,                0.82948,                 1.1404,                0.52881,                0.62013,                0.62143,                0.43787,                 1.1673,                0.79434,                 1.1571,              0.0010894,              0.0010894,              0.0010894
                     23,                 1.1236,                0.82989,                 1.1424,                0.62173,                0.58755,                0.62861,                0.43357,                 1.1801,                0.85774,                  1.165,              0.0010619,              0.0010619,              0.0010619
                     24,                 1.1211,                0.83719,                 1.1391,                0.47576,                0.60723,                0.57834,                0.40538,                 1.1815,                0.80714,                 1.1677,              0.0010344,              0.0010344,              0.0010344
                     25,                 1.1155,                0.82083,                 1.1362,                0.60119,                0.60455,                0.62121,                0.43804,                 1.1696,                0.77923,                 1.1492,              0.0010069,              0.0010069,              0.0010069
                     26,                 1.1061,                 0.8166,                 1.1326,                0.54816,                0.58385,                0.58647,                0.41116,                 1.1783,                0.81348,                 1.1621,             0.00097936,             0.00097936,             0.00097936
                     27,                 1.1066,                0.80579,                 1.1355,                0.64467,                0.63169,                0.64102,                0.45286,                 1.1611,                0.77183,                 1.1442,             0.00095186,             0.00095186,             0.00095186
                     28,                 1.1074,                0.80788,                 1.1302,                0.61421,                0.63618,                0.65279,                 0.4533,                 1.1638,                0.78584,                 1.1491,             0.00092435,             0.00092435,             0.00092435
                     29,                 1.1124,                0.81082,                 1.1358,                0.70857,                0.57122,                0.64559,                0.44996,                 1.1685,                0.77341,                 1.1538,             0.00089685,             0.00089685,             0.00089685
                     30,                 1.1036,                0.77826,                 1.1296,                0.64138,                0.62172,                0.63842,                0.44773,                 1.1666,                0.75937,                 1.1434,             0.00086934,             0.00086934,             0.00086934
                     31,                 1.0946,                0.76887,                 1.1217,                0.62323,                0.61445,                0.64456,                0.45241,                 1.1711,                0.76663,                 1.1624,             0.00084184,             0.00084184,             0.00084184
                     32,                 1.0992,                0.79603,                 1.1234,                0.60432,                0.60382,                 0.6288,                0.43773,                 1.1758,                0.76612,                 1.1664,             0.00081433,             0.00081433,             0.00081433
                     33,                  1.083,                 0.7563,                 1.1204,                0.63822,                 0.5593,                 0.6257,                0.43568,                 1.1789,                0.83316,                 1.1567,             0.00078682,             0.00078682,             0.00078682
                     34,                 1.0864,                0.75744,                 1.1207,                0.64848,                0.59104,                0.66567,                0.45578,                 1.1782,                0.80065,                 1.1501,             0.00075932,             0.00075932,             0.00075932
                     35,                 1.0803,                0.76077,                 1.1203,                0.65976,                0.56564,                0.63331,                0.44384,                 1.1611,                0.77797,                 1.1476,             0.00073181,             0.00073181,             0.00073181
                     36,                 1.0776,                0.75018,                 1.1166,                0.68553,                0.62174,                0.67325,                0.46825,                 1.1654,                0.76393,                 1.1518,             0.00070431,             0.00070431,             0.00070431
                     37,                 1.0798,                0.74492,                  1.119,                0.60698,                0.63635,                0.63723,                0.44466,                 1.1615,                0.78688,                 1.1502,              0.0006768,              0.0006768,              0.0006768
                     38,                 1.0714,                0.72912,                 1.1222,                0.60899,                0.63863,                  0.642,                0.45177,                 1.1652,                  0.766,                 1.1662,              0.0006493,              0.0006493,              0.0006493
                     39,                 1.0652,                0.71448,                 1.1159,                0.67916,                0.59298,                0.63366,                0.43505,                 1.1771,                0.75864,                  1.165,             0.00062179,             0.00062179,             0.00062179
                     40,                  1.059,                0.71999,                 1.1097,                0.65174,                 0.6784,                0.67876,                0.47391,                 1.1669,                0.74382,                 1.1534,             0.00059429,             0.00059429,             0.00059429
                     41,                 1.0558,                0.72547,                  1.104,                0.67096,                0.58248,                0.66879,                0.46927,                 1.1625,                0.75161,                 1.1544,             0.00056678,             0.00056678,             0.00056678
                     42,                 1.0538,                0.70843,                 1.1041,                0.62266,                0.68171,                0.66857,                0.46621,                 1.1633,                0.76002,                 1.1557,             0.00053927,             0.00053927,             0.00053927
                     43,                   1.05,                0.71448,                 1.1033,                0.66933,                0.62951,                0.64822,                0.45586,                 1.1549,                0.77227,                 1.1479,             0.00051177,             0.00051177,             0.00051177
                     44,                 1.0403,                0.69835,                 1.0997,                0.66534,                0.63022,                0.66932,                0.46826,                 1.1722,                0.74897,                 1.1679,             0.00048426,             0.00048426,             0.00048426
                     45,                 1.0458,                0.69142,                 1.1016,                0.68118,                0.62381,                0.67221,                0.46631,                 1.1614,                0.74189,                 1.1629,             0.00045676,             0.00045676,             0.00045676
                     46,                 1.0414,                0.68916,                 1.1002,                 0.6547,                0.63046,                0.66385,                0.46134,                 1.1636,                0.74808,                 1.1538,             0.00042925,             0.00042925,             0.00042925
                     47,                 1.0343,                0.67965,                 1.1016,                0.70475,                0.58645,                0.66436,                 0.4652,                 1.1597,                0.75273,                  1.148,             0.00040175,             0.00040175,             0.00040175
                     48,                  1.028,                0.67165,                 1.0941,                0.64842,                0.64009,                 0.6587,                0.45979,                 1.1683,                0.76803,                  1.168,             0.00037424,             0.00037424,             0.00037424
                     49,                  1.016,                0.65975,                 1.0899,                 0.6735,                0.61954,                0.66351,                0.46492,                 1.1631,                0.73905,                 1.1525,             0.00034674,             0.00034674,             0.00034674
                     50,                 1.0148,                0.66019,                 1.0896,                0.69016,                0.64537,                0.67937,                0.47707,                 1.1646,                0.74096,                 1.1483,             0.00031923,             0.00031923,             0.00031923
                     51,                 1.0085,                0.61343,                 1.0847,                0.68028,                0.63455,                0.67465,                0.47062,                  1.169,                0.73326,                 1.1506,             0.00029172,             0.00029172,             0.00029172
                     52,                 1.0006,                0.59836,                 1.0806,                0.69342,                0.62783,                0.67668,                 0.4718,                 1.1711,                0.74667,                 1.1527,             0.00026422,             0.00026422,             0.00026422
                     53,                 0.9909,                0.58926,                 1.0749,                0.71202,                0.61166,                0.66295,                0.46618,                 1.1639,                0.74662,                 1.1588,             0.00023671,             0.00023671,             0.00023671
                     54,                0.97895,                0.58278,                 1.0728,                0.72725,                0.60792,                0.67061,                0.46801,                 1.1609,                0.73466,                 1.1568,             0.00020921,             0.00020921,             0.00020921
                     55,                0.97772,                0.58205,                 1.0718,                0.72637,                0.59793,                0.67514,                0.47333,                 1.1679,                 0.7429,                 1.1609,              0.0001817,              0.0001817,              0.0001817
                     56,                0.96593,                0.56429,                 1.0636,                0.75039,                0.61454,                  0.674,                0.47262,                 1.1652,                0.74211,                 1.1579,              0.0001542,              0.0001542,              0.0001542
                     57,                 0.9674,                0.56306,                 1.0646,                0.76357,                0.59167,                0.68746,                0.47834,                 1.1724,                0.76288,                 1.1577,             0.00012669,             0.00012669,             0.00012669
                     58,                0.96284,                0.54774,                  1.057,                0.74988,                0.57971,                0.68155,                0.47867,                 1.1671,                 0.7498,                 1.1583,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                0.95938,                0.54673,                 1.0599,                0.73505,                 0.6003,                0.68156,                0.47763,                 1.1671,                 0.7553,                 1.1588,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                0.95503,                0.53756,                 1.0533,                 0.7362,                0.60221,                0.67843,                0.47603,                 1.1679,                 0.7497,                 1.1575,             4.4176e-05,             4.4176e-05,             4.4176e-05
