                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2667,                 1.9582,                 1.2271,                0.78818,                 0.3234,                0.32731,                0.20864,                 1.3029,                 1.9199,                 1.1798,             0.00054685,             0.00054685,             0.00054685
                      2,                 1.2025,                 1.3401,                 1.1601,                 0.4574,                0.40306,                0.42341,                0.26775,                 1.2697,                 1.3872,                 1.2086,              0.0010916,              0.0010916,              0.0010916
                      3,                 1.2148,                 1.2377,                 1.1676,                0.84993,                0.38863,                0.44491,                0.29111,                 1.2317,                 1.0943,                 1.2332,              0.0016253,              0.0016253,              0.0016253
                      4,                 1.2145,                 1.1408,                 1.1755,                0.82539,                 0.3941,                0.41868,                0.27944,                 1.2224,                 1.2525,                 1.2364,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1962,                 1.0684,                 1.1705,                0.85603,                0.39353,                0.44086,                0.28785,                 1.2103,                0.97086,                 1.1963,               0.001601,               0.001601,               0.001601
                      6,                 1.1922,                 1.0314,                 1.1793,                0.81804,                0.37627,                0.41434,                0.27108,                 1.2803,                 1.2674,                 1.2217,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1843,                0.99782,                 1.1734,                0.40811,                0.54393,                0.46689,                0.30255,                 1.2268,                 1.0184,                 1.2527,               0.001568,               0.001568,               0.001568
                      8,                  1.177,                0.98193,                   1.18,                0.40112,                0.49639,                 0.4373,                0.27798,                 1.2895,                 1.1949,                 1.2667,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1773,                0.96969,                 1.1751,                0.33916,                0.53249,                0.46072,                 0.3138,                 1.1875,                0.94694,                 1.2186,               0.001535,               0.001535,               0.001535
                     10,                 1.1722,                0.96159,                 1.1765,                0.83178,                0.39789,                0.42841,                0.29468,                 1.1965,                 1.1418,                 1.2483,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1693,                0.94488,                 1.1782,                0.86424,                0.39092,                0.47183,                0.30978,                 1.2399,                0.92485,                 1.2488,               0.001502,               0.001502,               0.001502
                     12,                 1.1728,                0.93233,                 1.1881,                0.42293,                0.58282,                0.50882,                0.34564,                 1.1934,                0.86703,                 1.2526,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1584,                0.90247,                 1.1787,                0.44804,                0.53018,                0.49747,                0.33976,                 1.2023,                0.84895,                  1.275,               0.001469,               0.001469,               0.001469
